Date,Open,High,Low,Close,Adj Close,Volume;Adj CloseBTC
2017-12-28,762.208008,763.318970,701.187012,737.023010,737.023010,2389149952;317.239014
2017-12-29,740.388977,770.117004,729.607971,753.591980,753.591980,2648969984;312.670013
2017-12-30,753.815002,753.815002,685.231018,717.257019,717.257019,3187780096;310.737
2017-12-31,712.211975,760.348022,710.119019,756.732971,756.732971,2554269952;320.192993
2018-01-01,755.757019,782.530029,742.004028,772.640991,772.640991,2595760128;314.248993
2018-01-02,772.346008,914.830017,772.346008,884.443970,884.443970,5783349760;315.032013
2018-01-03,886.000000,974.471008,868.450989,962.719971,962.719971,5093159936;281.082001
2018-01-04,961.713013,1045.079956,946.085999,980.921997,980.921997,6502859776;264.195007
2018-01-05,975.750000,1075.390015,956.325012,997.719971,997.719971,6683149824;274.473999
2018-01-06,995.153992,1060.709961,994.622009,1041.680054,1041.680054,4662219776;286.188995
2018-01-07,1043.010010,1153.170044,1043.010010,1153.170044,1153.170044,5569880064;294.337006
2018-01-08,1158.260010,1266.930054,1016.049988,1148.530029,1148.530029,8450970112;283.348999
2018-01-09,1146.000000,1320.979980,1145.489990,1299.739990,1299.739990,7965459968;290.40799
2018-01-10,1300.339966,1417.380005,1226.599976,1255.819946,1255.819946,9214950400;274.79599
2018-01-11,1268.089966,1337.300049,1135.170044,1154.930054,1154.930054,7235899904;265.660004
2018-01-12,1158.290039,1296.040039,1120.089966,1273.199951,1273.199951,5222300160;267.79599
2018-01-13,1270.469971,1432.880005,1270.469971,1396.420044,1396.420044,5746760192;225.860992
2018-01-14,1397.479980,1400.560059,1286.209961,1366.770020,1366.770020,4841630208;178.102997
2018-01-15,1365.209961,1390.589966,1290.599976,1291.920044,1291.920044,4781100032;209.843994
2018-01-16,1292.630005,1292.630005,875.544983,1053.689941,1053.689941,8405139968;208.097
2018-01-17,1061.339966,1090.229980,780.921997,1014.250000,1014.250000,8545160192;199.259995
2018-01-18,1016.440002,1100.310059,967.758972,1036.280029,1036.280029,5938319872;210.339005
2018-01-19,1028.819946,1093.219971,1003.710022,1039.099976,1039.099976,4084450048;214.860992
2018-01-20,1044.949951,1167.109985,1044.949951,1155.150024,1155.150024,3975190016;211.315002
2018-01-21,1155.680054,1155.680054,1021.500000,1049.579956,1049.579956,3378089984;226.897003
2018-01-22,1055.349976,1089.099976,930.741028,1003.260010,1003.260010,3810099968;233.406006
2018-01-23,1004.169983,1023.229980,920.539978,986.229004,986.229004,3556699904;232.878998
2018-01-24,987.476990,1062.439941,965.807983,1058.780029,1058.780029,3944039936;247.847
2018-01-25,1063.219971,1104.660034,1034.739990,1056.030029,1056.030029,4050190080;253.718002
2018-01-26,1052.699951,1080.599976,996.783997,1055.170044,1055.170044,3617690112;273.472992
2018-01-27,1055.750000,1121.979980,1042.119995,1107.069946,1107.069946,3002870016;263.475006
2018-01-28,1111.780029,1257.770020,1111.780029,1246.010010,1246.010010,5372329984;233.914993
2018-01-29,1246.699951,1256.699951,1169.079956,1182.359985,1182.359985,3715079936;233.513
2018-01-30,1184.130005,1184.630005,1058.969971,1071.130005,1071.130005,4107859968;226.425003
2018-01-31,1071.089966,1128.660034,1034.500000,1118.310059,1118.310059,3757560064;217.464005
2018-02-01,1119.369995,1161.349976,984.818970,1036.790039,1036.790039,5261680128;226.972
2018-02-02,1035.770020,1035.770020,757.979980,915.784973,915.784973,6713290240;238.229004
2018-02-03,919.210999,991.942993,847.690002,964.018982,964.018982,3243480064;227.268005
2018-02-04,964.666992,969.031982,805.064026,834.682007,834.682007,2997090048;226.852997
2018-02-05,834.958008,856.645996,644.598999,697.950989,697.950989,4269530112;217.110992
2018-02-06,707.737000,796.439026,574.419006,793.122009,793.122009,6518269952;222.266006
2018-02-07,790.427979,851.200012,723.432983,757.067993,757.067993,3896179968;227.753998
2018-02-08,755.843018,845.085999,755.843018,817.807007,817.807007,3708189952;223.412003
2018-02-09,818.479980,884.004028,788.833984,883.864990,883.864990,2495820032;220.110001
2018-02-10,882.466980,917.400024,825.577026,860.414978,860.414978,2930530048;219.839005
2018-02-11,859.288025,859.288025,788.221985,814.659973,814.659973,2486650112;219.184998
2018-02-12,817.507996,875.937012,817.507996,868.706970,868.706970,2243450112;221.764008
2018-02-13,869.293030,870.708984,828.836975,845.257996,845.257996,2081170048;235.427002
2018-02-14,844.278992,926.429016,844.278992,923.560974,923.560974,2818370048;257.321014
2018-02-15,923.728027,951.947998,911.111023,936.976013,936.976013,2900100096;234.824997
2018-02-16,934.786011,950.005005,917.848022,944.210022,944.210022,2369449984;233.843002
2018-02-17,944.747986,976.594971,940.754028,974.114990,974.114990,2525720064;243.610001
2018-02-18,973.348999,982.932983,915.445007,923.921021,923.921021,2567290112;236.326004
2018-02-19,921.668030,957.776978,921.554016,943.864990,943.864990,2169019904;240.283005
2018-02-20,943.567017,965.265015,892.953979,895.370972,895.370972,2545260032;243.779007
2018-02-21,894.135010,912.375000,830.562988,849.971008,849.971008,2531729920;244.533997
2018-02-22,849.262024,875.926025,802.668030,812.844971,812.844971,2150370048;235.977005
2018-02-23,811.585022,886.317993,794.791016,864.189026,864.189026,2334820096;238.891998
2018-02-24,861.593018,879.531006,818.549988,840.515015,840.515015,1926579968;238.735001
2018-02-25,839.458984,853.145996,822.380981,844.809998,844.809998,1646960000;237.470001
2018-02-26,845.278015,880.392029,842.318970,869.315002,869.315002,2044480000;236.425995
2018-02-27,870.364990,896.258972,867.096985,878.265015,878.265015,2053980032;253.828003
2018-02-28,877.934021,890.107971,855.124023,855.198975,855.198975,1963980032;254.263
2018-03-01,856.012024,880.302002,851.919983,872.200012,872.200012,1868519936;260.201996
2018-03-02,871.763977,876.377991,852.421997,856.853027,856.853027,1894419968;275.670013
2018-03-03,856.710999,868.453979,855.206970,857.224976,857.224976,1699369984;281.701996
2018-03-04,856.185974,867.950012,840.280029,866.677979,866.677979,1697939968;273.09201
2018-03-05,866.846008,869.919983,853.520020,853.684021,853.684021,1898489984;276.178009
2018-03-06,853.817017,853.817017,809.931030,816.950989,816.950989,1943069952;272.722992
2018-03-07,816.270996,825.606995,726.546997,752.830994,752.830994,2175419904;276.260986
2018-03-08,752.570007,773.767029,696.169006,704.596008,704.596008,1891640064;274.354004
2018-03-09,702.197021,729.156006,648.106995,728.916016,728.916016,2233019904;289.606995
2018-03-10,730.159973,748.031006,682.695007,686.890015,686.890015,1532960000;291.76001
2018-03-11,685.312012,735.830994,668.122986,723.338989,723.338989,1562680064;296.378998
2018-03-12,724.406006,742.513977,683.268005,699.830994,699.830994,1764999936;294.354004
2018-03-13,698.153015,713.734985,682.349976,690.827026,690.827026,1425959936;285.337006
2018-03-14,691.218994,702.783997,594.099976,614.291016,614.291016,1810560000;281.88501
2018-03-15,614.838989,620.616028,579.505005,611.304016,611.304016,1770460032;286.393005
2018-03-16,611.778015,623.168030,587.862000,601.666016,601.666016,1417350016;290.592987
2018-03-17,601.677979,609.151001,549.096008,552.778992,552.778992,1267810048;285.505005
2018-03-18,551.640015,551.640015,460.088013,538.643982,538.643982,2685499904;256.299011
2018-03-19,546.625977,558.099976,519.122986,556.726013,556.726013,2046790016;260.928009
2018-03-20,556.721985,567.090027,521.203979,557.174988,557.174988,1833680000;261.748993
2018-03-21,559.099976,589.606995,550.572021,561.731995,561.731995,1781270016;260.024994
2018-03-22,562.103027,577.565979,523.088989,539.702026,539.702026,1523459968;267.959991
2018-03-23,539.864014,540.487000,512.127014,539.619019,539.619019,1596349952;266.73999
2018-03-24,542.572021,545.382019,526.080017,526.439026,526.439026,1300009984;245.595001
2018-03-25,522.703003,535.820984,515.658997,524.286987,524.286987,1151170048;246.197006
2018-03-26,524.286987,526.379028,470.440002,489.950989,489.950989,1638880000;248.531998
2018-03-27,489.589996,491.459015,449.971008,450.115997,450.115997,1617939968;247.029007
2018-03-28,450.290985,466.210999,444.860992,446.278992,446.278992,1514179968;252.798004
2018-03-29,448.075012,450.812988,385.812988,385.967987,385.967987,1970230016;242.712997
2018-03-30,385.904999,409.928986,368.632996,394.644989,394.644989,1878130048;247.526001
2018-03-31,395.003998,418.467987,392.953003,396.457001,396.457001,1323920000;244.223999
2018-04-01,397.253998,400.528015,363.804993,379.606995,379.606995,1256930048;247.272003
2018-04-02,379.699005,395.170990,377.592987,386.424988,386.424988,1102259968;253.005005
2018-04-03,387.312012,418.967987,383.532013,416.893005,416.893005,1363399936;254.322006
2018-04-04,416.484985,417.471985,375.309998,380.542999,380.542999,1287730048;253.697006
2018-04-05,379.946991,387.716003,369.816010,383.231995,383.231995,1210680064;260.597992
2018-04-06,382.730988,385.195007,366.911011,370.285004,370.285004,967105984;255.492004
2018-04-07,370.380005,393.058990,369.936005,385.313995,385.313995,951475008;253.179993
2018-04-08,385.743011,402.589996,385.601990,400.507996,400.507996,948488000;245.022003
2018-04-09,400.856995,429.251007,390.609985,398.526001,398.526001,1478390016;243.675995
2018-04-10,399.411011,415.888000,393.878998,414.243011,414.243011,1196000000;236.072006
2018-04-11,415.023987,430.540009,412.471008,430.540009,430.540009,1439040000;236.552002
2018-04-12,430.161011,493.058014,417.412994,492.941010,492.941010,2519360000;236.153
2018-04-13,493.160004,526.469971,482.658997,492.734985,492.734985,2419249920;224.587006
2018-04-14,492.579987,512.023987,488.278992,501.477997,501.477997,1519079936;219.158997
2018-04-15,502.880005,531.702026,502.880005,531.702026,531.702026,1726089984;223.832993
2018-04-16,532.073975,534.197021,500.250000,511.147003,511.147003,1758979968;228.572998
2018-04-17,511.144989,518.031006,502.563995,502.894012,502.894012,1760359936;222.882004
2018-04-18,503.308990,525.091980,503.045013,524.789001,524.789001,1762940032;223.356003
2018-04-19,524.038025,567.888977,523.262024,567.888977,567.888977,2256869888;222.600006
2018-04-20,567.989014,618.715027,560.283020,615.718018,615.718018,2849469952;224.626007
2018-04-21,616.004028,621.888000,578.549988,605.395020,605.395020,2612460032;235.268997
