DateTime,BTC,ETH,USDT,BNB,SOL,Others
2015.03.29 ,3536559217,0,251600,0,0,540579262.6
2015.04.05 ,3557453027,0,251600,0,0,530905421.4
2015.04.12 ,3321740502,0,251600,0,0,486738010.3
2015.04.19 ,3143459667,0,251600,0,0,467628765
2015.04.26 ,3190796973,0,251600,0,0,478231427.4
2015.05.03 ,3315974388,0,251600,0,0,466614075.5
2015.05.10 ,3418729921,0,251600,0,0,453398382.6
2015.05.17 ,3343946252,0,251600,0,0,431612196.4
2015.05.24 ,3391917865,0,451600,0,0,478250438.9
2015.05.31 ,3314789801,0,451600,0,0,540708679
2015.06.07 ,3213393226,0,451600,0,0,524075174
2015.06.14 ,3317074985,0,451600,0,0,534793415.5
2015.06.21 ,3503877684,0,451600,0,0,707840699.8
2015.06.28 ,3593902797,0,451600,0,0,719435555.2
2015.07.05 ,3741659654,0,451600,0,0,749318634
2015.07.12 ,4213278129,0,451600,0,0,709820478.8
2015.07.19 ,3956139972,0,451600,0,0,657178668.4
2015.07.26 ,4163471698,0,451600,0,0,690646685.5
2015.08.02 ,4052470133,0,451600,0,0,668848251.2
2015.08.09 ,3779770680,42637543.68,451600,0,0,643740112.5
2015.08.16 ,3797323161,102028033.2,451600,0,0,645427029.8
2015.08.23 ,3346765518,99894340.6,451600,0,0,577108445.8
2015.08.30 ,3345732050,86145906.39,451600,0,0,555610539.9
2015.09.06 ,3424428151,97625195.45,451600,0,0,566415117.7
2015.09.13 ,3435997782,76193716.66,451600,0,0,568396773.2
2015.09.20 ,3385770806,64600034.35,451600,0,0,550597592
2015.09.27 ,3431856750,58149531.52,451600,0,0,520772070.4
2015.10.04 ,3502459356,50555947.04,451600,0,0,491513064.8
2015.10.11 ,3599835149,46327504.64,451600,0,0,478005778.4
2015.10.18 ,3991622475,40550433.25,451600,0,0,476325507.8
2015.10.25 ,4154105118,41781371,451600,0,0,454501974.6
2015.11.01 ,4657899150,68477207.23,451600,0,0,505971787.1
2015.11.08 ,5692387998,68254322.67,451600,0,0,498885855.4
2015.11.15 ,4942412593,66590205.76,451600,0,0,445075649.6
2015.11.22 ,4861341321,73378875.25,451600,0,0,437297963.4
2015.11.29 ,5324603226,68625059.25,451600,0,0,460810226.3
2015.12.06 ,5813290200,65194898.36,951600,0,0,507303525.4
2015.12.13 ,6454429948,73276328.72,951600,0,0,628642347.1
2015.12.20 ,6925021737,68663123.23,951600,0,0,561783635.8
2015.12.27 ,6251439746,64650004.39,951600,0,0,535038777.6
2016.01.03 ,6519493347,71275843.47,951600,0,0,548249257.9
2016.01.10 ,6752207451,75031161.86,1451600,0,0,555609819.5
2016.01.17 ,5842269905,93207495.47,1452172.776,0,0,510330587.1
2016.01.24 ,5867294005,145357921.2,1451776.678,0,0,527976296.9
2016.01.31 ,5729876280,187288793.4,1451600,0,0,609143198.8
2016.02.07 ,5714757845,194883946.3,1451600,0,0,666956656.3
2016.02.14 ,5975579008,416193451.5,1451600,0,0,712965764.2
2016.02.21 ,6669256895,336572452.3,1451600,0,0,740598988.5
2016.02.28 ,6600315177,495545000.9,1451600,0,0,738218462.3
2016.03.06 ,6121408382,868737165.6,1451599.827,0,0,731973028.4
2016.03.13 ,6302326832,1049934287,1451449.192,0,0,842667591.9
2016.03.20 ,6293608466,822294753.3,1451593.577,0,0,796255426.8
2016.03.27 ,6423042999,862207437.6,1451591,0,0,842207796.1
2016.04.03 ,6480475540,915178309.3,1451591,0,0,814574815.6
2016.04.10 ,6467328064,722132721.7,1451591,0,0,755897479.2
2016.04.17 ,6649170352,682467508.3,1451591,0,0,752260437.2
2016.04.24 ,6968576354,658203215,1451591,0,0,800118791.7
2016.05.01 ,6940220695,699881220.8,1951591,0,0,778426493.6
2016.05.08 ,7114057186,748029355.2,1951591,0,0,791002379.4
2016.05.15 ,7084755187,819397650.3,1958462.95,0,0,780488891.9
2016.05.22 ,6900706986,1126810311,1951591,0,0,789351207.6
2016.05.29 ,8226502854,974781807.2,1951591,0,0,839263843.3
2016.06.05 ,8955049694,1110685557,2951591,0,0,1030312966
2016.06.12 ,9539851633,1148076034,2951591,0,0,1067420902
2016.06.19 ,11859832811,906288322,5951586.034,0,0,1100627697
2016.06.26 ,10454854636,1160585679,5951641.373,0,0,1099908524
2016.07.03 ,11086081265,989130563.2,5951591,0,0,1185736548
2016.07.10 ,10247292404,896902499.3,5951586.388,0,0,1170953286
2016.07.17 ,10434741392,953757991,6951613.375,0,0,1471648652
2016.07.24 ,10338572708,1176252971,6951591,0,0,1459422602
2016.07.31 ,10340889222,1026305198,6951648.18,0,0,1408653804
2016.08.07 ,9285937038,898343259,6948510.744,0,0,1455671416
2016.08.14 ,9258735938,960854022.3,6951586.857,0,0,1385058325
2016.08.21 ,9208215376,936015579.3,6951591,0,0,1387817774
2016.08.28 ,9023610649,929687680,6951591,0,0,1293850048
2016.09.04 ,9486373845,982950196.9,6951591,0,0,1389424719
2016.09.11 ,9887773727,1023632916,6951590.95,0,0,1437641510
2016.09.18 ,9623944106,1066616877,6951584.735,0,0,1417987465
2016.09.25 ,9575355371,1083511238,6951585.978,0,0,1424782252
2016.10.02 ,9761333067,1114202869,6951590.95,0,0,1365412633
2016.10.09 ,9852485145,1035586352,6951590.95,0,0,1400377360
2016.10.16 ,10176766351,1018540091,6951590.85,0,0,1377141647
2016.10.23 ,10479669330,1033971026,6951589.316,0,0,1424807864
2016.10.30 ,11388836334,891168049.5,6951589.73,0,0,1288944186
2016.11.06 ,11233033307,941732522.9,6951588.73,0,0,1366582870
2016.11.13 ,11264543084,849341460.3,6951589.8,0,0,1354563546
2016.11.20 ,12027477305,832050376,6951589.8,0,0,1307720537
2016.11.27 ,11773780502,804084701.7,6951589.8,0,0,1285683046
2016.12.04 ,12363543726,684257741.7,6951736.399,0,0,1273546316
2016.12.11 ,12423597454,705363349.7,6951595.521,0,0,1266087473
2016.12.18 ,12694811835,684028136.9,6951771.204,0,0,1294308096
2016.12.25 ,14450083951,633791855,6951626.183,0,0,1409872728
2017.01.01 ,15491191079,698148582.1,9951670.39,0,0,1536208445
2017.01.08 ,14611436883,865667437.1,14951726.29,0,0,1506343953
2017.01.15 ,13174247860,864036600.2,14952066.33,0,0,1480363217
2017.01.22 ,14863609422,961461115.2,14951704.9,0,0,1609677086
2017.01.29 ,14873957221,933090757.9,14951770.85,0,0,1646299515
2017.02.05 ,16847343179,1013392173,24951571.5,0,0,1782813556
2017.02.12 ,16214597429,1008032747,24950975.18,0,0,1723819041
2017.02.19 ,17056569066,1140873274,24951216.1,0,0,1734606636
2017.02.26 ,18518937117,1206149617,24952084.63,0,0,1707561693
2017.03.05 ,20315993974,1655022306,24951229.42,0,0,1949232107
2017.03.12 ,19073207582,1924658490,34951919.11,0,0,2202182330
